Pred Tree: (airplane at)	Gold Tree: (airplane at)
Pred Tree: (((two young) men) (standing (((((in front) of) her) while) (((((((she has) her) foot) on) a) skateboard) .))))	Gold Tree: ((two (young men)) ((standing ((in (front (of her))) (while (she (has ((her foot) (on (a skateboard)))))))) .))
Pred Tree: ((((a cup) of) teeth) ((((cleaning instruments) and) toothpaste) (says ((((` `) of) course) (((you can) `) `)))))	Gold Tree: (((a cup) (of (teeth (cleaning (instruments (and toothpaste)))))) (((says (` (` ((of course) (you can))))) `) `))
Pred Tree: (((a train) (((travelling on) a) track)) ((((((passing two) white) gates) while) smoke) ((((is coming) from) it) .)))	Gold Tree: ((a train) ((travelling (on (((a track) (passing (two (white gates)))) (while (smoke (is (coming (from it)))))))) .))
Pred Tree: ((((a scenic) view) ((((((((in a) park) with) a) sidewalk) ,) trees) (and a))) (((body of) water) .))	Gold Tree: ((a (scenic view)) ((in ((a park) (with ((a sidewalk) (, (trees (and ((a body) (of water))))))))) .))
Pred Tree: (((two little) kids) ((((((enjoy the) bunk) bed) ,) one) ((((on top) and) one) (((on the) bottom) .))))	Gold Tree: ((two (little kids)) ((enjoy ((the (bunk bed)) (, ((one (on top)) (and (one (on (the bottom)))))))) .))
Pred Tree: (((a little) girl) ((((((((is partaking) in) a) brown) bag) lunch) while) (((((riding in) a) shopping) cart) .)))	Gold Tree: ((a (little girl)) ((is (partaking ((in (a (brown (bag lunch)))) (while (riding (in (a (shopping cart)))))))) .))
Pred Tree: ((((a long) passenger) bus) ((((((is stationary) in) town) near) several) ((((((multiple story) buildings) along) a) sidewalk) .)))	Gold Tree: ((a (long (passenger bus))) ((is (stationary ((in town) (near ((several (multiple (story buildings))) (along (a sidewalk))))))) .))
Pred Tree: ((((((a black) and) white) cat) (is ((((((((laying on) a) green) pillow) on) top) of) a))) (desk .))	Gold Tree: ((a ((black (and white)) cat)) ((is (laying ((on (a (green pillow))) (on (top (of (a desk))))))) .))
Pred Tree: (((((an open) white) toilet) (((against a) wall) of)) ((((((((white tiles) and) a) black) and) white) floor) .))	Gold Tree: ((an (open (white toilet))) ((against (((a wall) (of (white tiles))) (and (a ((black (and white)) floor))))) .))
Pred Tree: (((((a collection) of) different) ((((((plants and) fields) ,) with) a) tomato)) ((plant being) (((the most) prominent) .)))	Gold Tree: ((a collection) ((of (different (plants (and fields)))) (, ((with ((a (tomato plant)) (being (the (most prominent))))) .))))
Pred Tree: (((three zebra) ((((((in the) middle) of) a) field) (with a))) ((((((body of) water) in) the) distance) .))	Gold Tree: ((three zebra) (in (((the middle) (of ((a field) (with ((a body) ((of water) (in (the distance)))))))) .)))
Pred Tree: (((the young) men) ((((((((((are wearing) hard) hats) as) they) <unk>) to) their) laptops) (((in the) office) .)))	Gold Tree: ((the (young men)) ((are (wearing ((hard hats) (as (they (<unk> (to ((their laptops) (in (the office)))))))))) .))
Pred Tree: ((there are) (((a toilet) ,) (((a sink) ,) ((((and a) shower) stall) ((((in a) large) bathroom) .)))))	Gold Tree: (there ((are (((a toilet) (, ((a sink) (, (and (a (shower stall))))))) (in (a (large bathroom))))) .))
Pred Tree: ((((a man) ((((talking on) a) cell) phone)) (((((on a) boat) with) a) city)) (((in the) background) .))	Gold Tree: ((a man) ((talking ((on (a (cell phone))) ((on (a boat)) (with ((a city) (in (the background))))))) .))
Pred Tree: ((((((((two people) ((((in the) background) doing) make)) (- up)) with) shoes) and) flowers) (((in teh) foreground) .))	Gold Tree: (((two people) (in (the background))) ((doing ((make (- up)) ((with (shoes (and flowers))) (in (teh foreground))))) .))
Pred Tree: (((two birds) are) (((((flying toward) each) other) by) (((((a boat) (mast ,)) with) (((a woman) looking) on)) .)))	Gold Tree: ((two birds) ((are (flying ((toward (each other)) ((by (a (boat mast))) (, (with ((a woman) (looking on)))))))) .))
Pred Tree: ((((((a chocolate) doughnut) with) sprinkles) ((((in a) basket) next) to)) ((((a cup) of) coffee) (((on a) saucer) .)))	Gold Tree: ((a (chocolate doughnut)) (((with sprinkles) (in ((a basket) (next (to ((a cup) ((of coffee) (on (a saucer))))))))) .))
Pred Tree: ((((((a bunch) of) boats) ((on a) river)) (with ((a man) ((in another) boat)))) ((((rowing the) opposite) direction) .))	Gold Tree: (((a bunch) (of boats)) ((on (a river)) ((with (((a man) (in (another boat))) (rowing (the (opposite direction))))) .)))
Pred Tree: ((((((a knife) with) red) crumbs) (((on it) next) to)) (((a cup) ((((on top) of) a) wooden)) (table .)))	Gold Tree: ((a knife) ((with ((red crumbs) (on it))) ((next (to ((a cup) (on (top (of (a (wooden table)))))))) .)))
Pred Tree: ((((members of) opposing) (baseball teams)) (are (((((((on a) baseball) field) as) the) spectators) ((((sit in) the) grandstand) .))))	Gold Tree: ((members (of (opposing (baseball teams)))) ((are ((on (a (baseball field))) (as ((the spectators) (sit (in (the grandstand))))))) .))
Pred Tree: ((((a guy) (((in a) maroon) shirt)) is) ((((holding a) tennis) racket) ((((((out to) hit) a) tennis) ball) .)))	Gold Tree: (((a guy) (in (a (maroon shirt)))) ((is (holding ((a (tennis racket)) (out (to (hit (a (tennis ball)))))))) .))
Pred Tree: (((a large) cake) (((((shaped like) a) cup) covered) (((in coco) powder) ((((((sitting on) a) white) cutting) board) .))))	Gold Tree: (((a (large cake)) (shaped (like ((a cup) (covered (in (coco powder))))))) ((sitting (on (a (white (cutting board))))) .))
Pred Tree: ((((a ((picture of) ((a modern) bathroom))) with) (a glass)) ((((((((door to) the) toilet) and) large) glass) mirror) .))	Gold Tree: ((a picture) ((of ((a (modern bathroom)) (with (((a (glass door)) (to (the toilet))) (and (large (glass mirror))))))) .))
Pred Tree: (((a plane) (((((is sitting) on) the) ground) while)) (((someone is) either) (((fixing it) or) (((checking it) out) .))))	Gold Tree: ((a plane) ((is (sitting ((on (the ground)) (while (someone (is (either ((fixing it) (or (checking (it out))))))))))) .))
Pred Tree: (((a parade) with) (((an elephant) wearing) ((((a sign) ((that says) `)) `) (((i love) new) ((york `) `)))))	Gold Tree: ((a parade) ((with (((an elephant) (wearing (a sign))) (that (says (` (` (i ((love (new york)) `)))))))) `))
Pred Tree: ((((((((a large) ,) cake) with) (no icing)) has) some) (((green accents) and) (((((sits inside) a) grey) pan) .)))	Gold Tree: (((a (large (, cake))) (with (no icing))) (((has (some (green accents))) (and (sits (inside (a (grey pan)))))) .))
Pred Tree: ((this is) ((a ((photo of) (an airplane))) ((((((on a) runway) and) someones) head) (is (((in the) photo) .)))))	Gold Tree: ((this (is ((a photo) (of ((an airplane) (on (a runway))))))) (and (((someones head) (is (in (the photo)))) .)))
Pred Tree: (((((a dog) sitting) ((on the) grass)) (looking at)) ((((a fake) cow) (that is)) ((lit up) ((at night) .))))	Gold Tree: ((a dog) ((sitting ((on (the grass)) (looking (at ((a (fake cow)) (that (is (lit (up (at night)))))))))) .))
Pred Tree: ((((the last) rail) car) (sitting (((((((((on the) train) tracks) and) attached) to) the) car) (((in front) of) it))))	Gold Tree: ((the (last (rail car))) ((sitting (on (the (train tracks)))) (and (attached (to ((the car) (in (front (of it)))))))))
Pred Tree: ((((((a man) ((with a) ((` `) police))) `) `) shirt) ((((rides a) moped) while) (((on a) phone) .)))	Gold Tree: (((a man) (with (a (` (` (police (` (` shirt)))))))) ((rides ((a moped) (while (on (a phone))))) .))
Pred Tree: (((the clock) (is ((((at the) center) of) ((((the old) town) square) (was (((erected by) the) local)))))) (bank .))	Gold Tree: ((the clock) ((is (at ((the center) (of ((the (old (town square))) (was (erected (by (the (local bank)))))))))) .))
Pred Tree: ((few persons) (((are seen) on) (((((((zebra crossing) (((on road) and) (an elephant))) with) a) banner) (is there)) .)))	Gold Tree: (((few persons) (are (seen (on ((zebra crossing) (on road)))))) (and ((((an elephant) (with (a banner))) (is there)) .)))
Pred Tree: (((((a (stop sign)) (((((at the) end) of) a) road)) with) (a (stop sign))) ((((at the) other) end) .))	Gold Tree: ((a (stop sign)) ((at ((the end) (of ((a road) (with ((a (stop sign)) (at (the (other end))))))))) .))
Pred Tree: ((((a zebra) ((((standing alone) in) the) snow)) with) (((((((a stone) block) wall) and) wooden) fence) ((behind it) .)))	Gold Tree: ((a zebra) ((standing (alone ((in (the snow)) (with ((a ((stone (block wall)) (and (wooden fence)))) (behind it)))))) .))
Pred Tree: (((a bedroom) with) (((two beds) ,) (((((((((((a small) desk) ,) and) a) door) open) to) a) patio) .)))	Gold Tree: (((a bedroom) (with (two beds))) (, ((a (small desk)) (, (and (((a door) (open (to (a patio)))) .))))))
Pred Tree: ((a pot) ((((on the) stove) with) ((broccoli ,) (((((((((tomatoes and) other) ingredients) with) a) wooden) spoon) inside) .))))	Gold Tree: ((a pot) ((on (the stove)) ((with (broccoli (, (tomatoes (and (other ingredients)))))) ((with ((a (wooden spoon)) inside)) .))))
Pred Tree: (((a man) (sticking ((two (hot dogs)) (((((into his) mouth) as) he) ((holds the) bun))))) (((in his) other) hand))	Gold Tree: ((a man) (sticking ((two (hot dogs)) ((into (his mouth)) (as (he (holds ((the bun) (in (his (other hand)))))))))))
Pred Tree: ((a person) (((in a) wheelchair) (plays (music ((((on a) cd) player) ((((((while talking) on) a) wireless) telephone) .))))))	Gold Tree: (((a person) (in (a wheelchair))) ((plays (music ((on (a (cd player))) (while (talking (on (a (wireless telephone)))))))) .))
Pred Tree: (((((a frosted) cake) (((that reads) `) (` (congratulations (((<unk> and) <unk>) ((((on your) upcoming) arrival) .)))))) `) `)	Gold Tree: ((a (frosted cake)) ((that (reads (` (` (congratulations ((<unk> (and <unk>)) (on (your (upcoming arrival))))))))) (. (` `))))
Pred Tree: (((((a big) heard) of) cows) (((((walking down) a) road) in) (((a row) with) ((((green tags) on) their) ears))))	Gold Tree: ((a (big heard)) (of (cows (walking (down (((a road) (in (a row))) (with ((green tags) (on (their ears))))))))))
Pred Tree: (((((a red) number) N) bus) ((((on a) street) with) (((two (black cars)) ((((going in) the) opposite) direction)) .)))	Gold Tree: (((a (red (number (N bus)))) (on ((a street) (with (two (black cars)))))) ((going (in (the (opposite direction)))) .))
Pred Tree: ((((((a pitcher) of) fresh) squeezed) ((orange juice) as)) (((((a center) piece) along) (with oranges)) (((arranged on) table) .)))	Gold Tree: (((a pitcher) (of (fresh (squeezed (orange juice))))) ((as (a (center piece))) ((along (with (oranges (arranged (on table))))) .)))
Pred Tree: (((a banana) (sits by)) (((two oranges) ,) (((a bowl) and) ((((a white) plate) (((on a) white) tray)) .))))	Gold Tree: ((a banana) ((sits (by ((two oranges) (, ((a bowl) (and ((a (white plate)) (on (a (white tray)))))))))) .))
Pred Tree: ((((a girl) ((((((with a) green) hat) and) black) hoodie)) (((is holding) a) banana)) ((((close to) the) camera) .))	Gold Tree: (((a girl) (with ((a (green hat)) (and (black hoodie))))) ((is (holding ((a banana) (close (to (the camera)))))) .))
Pred Tree: (((a person) (((((((in black) pants) and) a) purple) shirt) (((standing on) a) skateboard))) ((((in a) park) area) .))	Gold Tree: (((a person) (in ((black pants) (and (a (purple shirt)))))) ((standing ((on (a skateboard)) (in (a (park area))))) .))
Pred Tree: (((((a vase) of) (floral decorations)) (sits (((((((in front) of) a) tin) and) a) picture))) (((on the) wall) .))	Gold Tree: (((a vase) (of (floral decorations))) ((sits (in (front (of (((a tin) (and (a picture))) (on (the wall))))))) .))
Pred Tree: ((a ((view of) (((a living) room) ,))) ((((((((((with a) couch) up) against) the) wall) near) two) windows) .))	Gold Tree: ((a view) ((of ((a (living room)) (, (with (((a couch) (up (against (the wall)))) (near (two windows))))))) .))
Pred Tree: (((((((a group) of) zebras) and) (other animals)) ((((((grazing in) a) field) with) a) rainbow)) (((in the) background) .))	Gold Tree: ((a group) ((of (zebras (and (other animals)))) (((grazing (in (a field))) (with ((a rainbow) (in (the background))))) .)))
Pred Tree: ((((((a group) of) boys) standing) (((((((((in front) of) a) screen) and) by) table) with) computers)) ((on top) .))	Gold Tree: (((a group) (of boys)) ((standing ((in (front (of (a screen)))) (and ((by table) (with (computers (on top))))))) .))
Pred Tree: ((clouds (with ((a rainbow) ((((in the) sky) of) ((((an open) field) with) zebras))))) ((((grazing on) the) grass) .))	Gold Tree: (clouds ((with (a rainbow)) ((in ((the sky) (of ((an (open field)) (with (zebras (grazing (on (the grass))))))))) .)))
Pred Tree: ((((a highland) cow) ((((((((((lies in) the) grass) in) the) sun) next) to) a) large)) (((group of) goats) .))	Gold Tree: ((a (highland cow)) ((lies ((in (the grass)) ((in (the sun)) (next (to ((a (large group)) (of goats))))))) .))
Pred Tree: ((a pizza) ((topped with) (((tomatoes and) basil) ((leafs and) ((((a glass) of) cola) ((((on a) picnic) table) .))))))	Gold Tree: (((a pizza) (topped (with (tomatoes (and (basil leafs)))))) (and ((((a glass) (of cola)) (on (a (picnic table)))) .)))
Pred Tree: (((((a woman) (((((((in a) bright) pink) summer) shirt) smiles) and)) displays) ((a party) platter)) (((she has) made) .))	Gold Tree: (((a woman) (in (a ((bright pink) (summer shirt))))) ((smiles (and (displays ((a (party platter)) (she (has made)))))) .))
Pred Tree: ((((((four men) of) middle) (eastern descent)) ((((are sitting) in) a) computer)) (lab ((and all) ((((are on) a) computer) .))))	Gold Tree: ((((four men) (of (middle (eastern descent)))) (are (sitting (in (a (computer lab)))))) (and ((all (are (on (a computer)))) .)))
Pred Tree: ((((((a living) room) area) has) ((a wooden) floor)) ((((((a gray) couch) and) chair) and) ((((several tables) and) lamps) .)))	Gold Tree: ((a (living (room area))) ((has ((a (wooden floor)) ((a (gray (couch (and chair)))) (and (several (tables (and lamps))))))) .))
Pred Tree: ((((((a red) two) level) city) bus) ((((((((on a) street) with) cars) behind) it) and) ((((in the) other) lane) .)))	Gold Tree: ((a (red ((two level) (city bus)))) ((on ((a street) (with (cars ((behind it) (and (in (the (other lane))))))))) .))
Pred Tree: (((((((a laptop) (seems to)) have) ((the infamous) (((((` `) blue) screen) of) death))) `) `) (((on the) desk) .))	Gold Tree: ((a laptop) ((seems (to (have ((the (infamous (` (` ((blue (screen (of death))) (` `)))))) (on (the desk)))))) .))
Pred Tree: (((a small) bathroom) ((, with) (((a commode) ,) ((((and a) bathtub) with) (((bath toys) in) (((and around) it) .))))))	Gold Tree: (((a (small bathroom)) (, ((with (a commode)) ,))) (and (((a bathtub) (with ((bath toys) (in (and (around it)))))) .)))
Pred Tree: (((((((a four) door) nissan) pickup) (((parked near) the) water)) with) (equipment ((((on the) roof) and) (((in the) bed) .))))	Gold Tree: ((a ((four door) (nissan pickup))) ((parked ((near (the water)) (with (equipment ((on (the roof)) (and (in (the bed)))))))) .))
Pred Tree: ((woman in) (((((((knitted jump) pants) and) yellow) sleeveless) top) (((, in) kitchen) ((((((scene with) matching) yellow) tone) area) .))))	Gold Tree: (woman ((in ((knitted (jump pants)) (and (yellow (sleeveless top))))) (, ((in (kitchen scene)) ((with (matching (yellow (tone area)))) .)))))
Pred Tree: (((((((((((the large) ornate) building) with) the) clock) tower) and) <unk>) ((sits on) the)) (((((<unk> avenue) and) Nth) st) .))	Gold Tree: (((the (large (ornate building))) (with (the (clock (tower (and <unk>)))))) ((sits (on ((the (<unk> avenue)) (and (Nth st))))) .))
Pred Tree: ((((a man) (((((((in a) red) shirt) and) a) red) hat)) (is ((on a) motorcycle))) ((((on a) hill) side) .))	Gold Tree: (((a man) (in ((a (red shirt)) (and (a (red hat)))))) ((is ((on (a motorcycle)) (on (a (hill side))))) .))
Pred Tree: (((((((((a group) of) motorcycles) and) people) are) ((((parked out) on) the) street)) ((((in front) of) a) pizza)) (restaurant .))	Gold Tree: (((a group) (of (motorcycles (and people)))) ((are (parked (out ((on (the street)) (in (front (of (a (pizza restaurant))))))))) .))
Pred Tree: ((((a boy) ((in black) clothes)) (((((((((holds a) baseball) bat) over) his) shoulder) near) a) fence)) (((and a) tree) .))	Gold Tree: (((a boy) (in (black clothes))) ((holds ((a (baseball bat)) ((over (his shoulder)) (near ((a fence) (and (a tree))))))) .))
Pred Tree: (((a mother) and) ((child fly) ((a kite) (((((in a) grassy) field) ,) (with ((a tower) (((in the) background) .)))))))	Gold Tree: ((a (mother (and child))) ((fly ((a kite) ((in (a (grassy field))) (, (with ((a tower) (in (the background)))))))) .))
